Distancia (m),Vpp (mV),error d (m),error Vpp (mV)
0.05,440,1.00E-03,23.2
0.075,552,1.00E-03,26.56
0.1,568,1.00E-03,27.04
0.125,528,1.00E-03,25.84
0.15,520,1.00E-03,25.6
0.175,552,1.00E-03,26.56
0.2,432,1.00E-03,22.96
0.225,336,1.00E-03,20.08
0.25,208,1.00E-03,16.24
0.275,86,1.00E-03,5.08
0.3,22,1.00E-03,3.16
0.325,210,1.00E-03,8.8
0.35,314,1.00E-03,11.92
0.375,370,1.00E-03,13.6
0.4,436,1.00E-03,18.08
0.425,488,1.00E-03,19.64
0.45,532,1.00E-03,20.96
0.475,512,1.00E-03,20.36
0.5,500,1.00E-03,20
0.525,420,1.00E-03,17.6
0.55,324,1.00E-03,14.72
0.575,208,1.00E-03,11.24
0.6,92,1.00E-03,3.76
0.625,51.2,1.00E-03,2.536
0.65,158,1.00E-03,5.74
0.675,282,1.00E-03,10.96
0.7,354,1.00E-03,13.12
0.725,436,1.00E-03,18.08
0.75,488,1.00E-03,19.64
0.775,508,1.00E-03,20.24
0.8,492,1.00E-03,19.76