d (cm),Vpp_1 (282Hz) (V),escala_1 (mv/div),Vpp_2 (472.6Hz) (V),escala_2 (mv/div),Vpp (659Hz) (V),escala_3 (mv/div),Vpp_4 (852Hz) (V),escala_4 (mv/div),Vpp_5 (1042Hz) (V),escala_5 (mv/div),Vpp_5b (94.45Hz) (V),escala_5b (mv/div)
86.5,2.56,1000,2.24,500,2.12,500,1.06,200,0.904,200,504,50
85,2.52,,2.12,,1.94,,0.912,,0.72,,504,
80,2.32,500,1.53,200,1.01,200,0.236,50,0.097,20,496,
79,2.24,,1.47,,0.82,100,0.106,,0.294,50,496,
75,1.96,,0.852,100,0.15,50,0.536,100,0.824,100,480,
72,1.7,,0.372,50,0.8,200,0.936,200,0.984,200,472,
70,1.44,200,0.142,,1.27,,1.09,,0.92,,472,
67,1.17,,0.56,200,1.9,500,1.07,,0.54,100,460,
65,0.88,,0.952,,2.14,,0.936,,0.23,50,452,
63.8,0.78,,1.16,,2.34,,0.848,,0.041,20,452,
62,0.596,100,1.44,,2.26,,0.56,100,0.348,50,448,
60,0.384,50,1.78,500,2.12,,0.252,50,0.648,100,444,100
57.5,0.202,,2.08,,1.84,200,0.14,,0.936,200,432,
55,0.334,,2.26,,1.33,,0.532,100,0.992,200,424,100
53,0.548,,2.32,,0.888,,0.784,,0.88,,424,50
50,0.848,200,2.36,,0.248,50,1.05,200,0.496,100,410,
47.5,,,2.14,,0.46,,1.2,,0.091,20,402,
45,1.37,,1.96,,0.976,200,0.968,,0.392,100,390,
43.5,1.58,,1.78,,1.33,,0.664,100,0.62,,386,
40,1.84,500,1.18,200,1.98,500,0.32,,0.976,200,372,
38,,,0.78,,2.28,,0.065,20,1.01,200,366,
35,2.26,,0.342,50,2.16,,0.44,100,0.736,200,356,
34.2,2.28,,0.234,,2.14,,0.56,,0.628,,352,
30,2.46,,0.635,100,1.54,200,1.06,200,0.121,20,342,
28,2.48,,0.976,200,1.16,,1.13,,0.48,100,334,50
25,2.5,,1.52,,0.52,,0.984,,0.88,200,326,
22.8,,,2.04,,0.172,50,0.736,,1.02,,324,50
20,2.32,,2.26,500,0.744,200,0.372,100,0.92,,310,
17.5,,,2.48,,1.38,,0.089,20,0.604,100,296,
15,2.04,,2.38,,1.88,500,0.412,100,0.208,50,280,
10,1.64,200,2.08,,2.24,,1.07,200,0.676,100,252,
7,,,1.7,,2.2,,1.21,,0.976,200,224,
5,1.12,200,1.44,200,1.84,,1.09,,1,,208,
2.5,0.84,100,1.04,,1.34,200,0.796,100,0.888,,192,