tiempo (s),señal CH1a (mV),señal CH1b (mV),señal CH2 (V)
0.00744,24.8,20,-9
0.00744,24,21.6,-8.8
0.00745,24.8,20,-9
0.00745,23.2,20.8,-8.8
0.00745,23.2,20.8,-8.8
0.00746,22.4,22.4,-8.8
0.00746,22.4,21.6,-9
0.00747,22.4,22.4,-9
0.00747,23.2,23.2,-9
0.00748,21.6,22.4,-8.8
0.00748,21.6,22.4,-8.8
0.00748,21.6,23.2,-8.8
0.00749,21.6,24,-9
0.00749,20.8,24,-9
0.00749,20,25.6,-9
0.0075,17.6,25.6,-8.6
0.0075,18.4,26.4,-9
0.00751,16.8,25.6,-8.8
0.00751,18.4,27.2,-9
0.00752,16.8,26.4,-9
0.00752,17.6,27.2,-8.8
0.00752,16.8,28,-8.8
0.00753,16.8,28,-9
0.00753,15.2,27.2,-8.8
0.00754,17.6,28.8,-8.8
0.00754,16,28.8,-9.2
0.00754,15.2,30.4,-8.8
0.00755,15.2,30.4,-9
0.00755,15.2,30.4,-9
0.00756,15.2,30.4,-9
0.00756,16,31.2,-9
0.00756,15.2,31.2,-9
0.00757,15.2,32,-9
0.00757,15.2,31.2,-8.8
0.00758,16,32.8,-9
0.00758,16,32,-9
0.00758,15.2,32.8,-9
0.00759,16,33.6,-8.8
0.00759,14.4,33.6,-9
0.0076,15.2,33.6,-9
0.0076,15.2,32.8,-8.8
0.0076,14.4,34.4,-8.8
0.00761,13.6,33.6,-9
0.00761,13.6,33.6,-9
0.00762,12.8,32.8,-8.8
0.00762,12.8,35.2,-9
0.00762,12,35.2,-9
0.00763,12.8,35.2,-8.8
0.00763,12.8,34.4,-8.8
0.00764,12.8,36,-9
0.00764,12,36.8,-9
0.00764,12,36.8,-8.8
0.00765,12,36.8,-9
0.00765,11.2,37.6,-9
0.00766,12,37.6,-9
0.00766,12.8,38.4,-9
0.00766,11.2,37.6,-9
0.00767,12,38.4,-9
0.00767,12,37.6,-8.8
0.00768,12,39.2,-9
0.00768,11.2,38.4,-8.8
0.00768,11.2,40,-8.8
0.00769,12,40,-8.8
0.00769,12,40.8,-9
0.00769,12.8,39.2,-8.8
0.0077,12,40.8,-8.8
0.0077,13.6,40,-9
0.00771,12,40,-8.8
0.00771,13.6,40,-9
0.00771,12,40,-8.8
0.00772,12.8,39.2,-8.8
0.00772,12,38.4,-8.8
0.00773,13.6,40,-9
0.00773,13.6,40.8,-8.8
0.00773,14.4,38.4,-8.8
0.00774,12.8,39.2,-9
0.00774,12.8,40.8,-8.8
0.00775,12.8,38.4,-8.8
0.00775,12,40,-8.8
0.00775,11.2,40,-9
0.00776,12.8,38.4,-8.8
0.00776,12,39.2,-9
0.00777,13.6,40,-9
0.00777,11.2,38.4,-9
0.00777,13.6,39.2,-9
0.00778,12,39.2,-8.8
0.00778,11.2,40,-8.8
0.00779,11.2,38.4,-8.8
0.00779,12,39.2,-9
0.00779,12,40,-9
0.0078,12,40.8,-8.8
0.0078,12.8,40,-9
0.00781,12.8,40.8,-8.8
0.00781,13.6,40.8,-9
0.00781,15.2,40.8,-8.8
0.00782,14.4,40,-9
0.00782,15.2,40.8,-9
0.00783,15.2,40,-9
0.00783,15.2,41.6,-8.8
0.00784,15.2,41.6,-9
0.00784,16,40,-8.8
0.00784,16.8,40.8,-8.8
0.00785,16,40.8,-9
0.00785,16.8,40.8,-9
0.00785,17.6,41.6,-8.8
0.00786,17.6,40.8,-9
0.00786,17.6,41.6,-8.6
0.00787,17.6,41.6,-9
0.00787,16.8,41.6,-9
0.00788,18.4,40,-9
0.00788,16.8,40,-8.8
0.00788,17.6,46.4,-8.8
0.00789,16.8,39.2,-9
0.00789,17.6,40.8,-8.8
0.0079,19.2,40,-9
0.0079,18.4,40,-8.8
0.0079,17.6,40,-9
0.00791,18.4,40.8,-9
0.00791,17.6,40,-9
0.00792,18.4,41.6,-9
0.00792,18.4,40,-8.8
0.00792,19.2,41.6,-9
0.00793,19.2,40,-8.8
0.00793,20,38.4,-8.8
0.00794,20,40,-9
0.00794,20.8,38.4,-9
0.00794,21.6,37.6,-9
0.00795,21.6,40,-8.8
0.00795,21.6,40,-9
0.00796,22.4,39.2,-8.8
0.00796,23.2,38.4,-8.8
0.00796,23.2,38.4,-8.8
0.00797,24,36.8,-8.8
0.00797,24.8,37.6,-8.8
0.00798,24.8,36,-9
0.00798,24.8,36,-9
0.00798,24.8,36.8,-9
0.00799,24,35.2,-8.8
0.00799,24.8,35.2,-8.8
0.008,25.6,34.4,-8.8
0.008,24.8,34.4,-8.8
0.008,24,34.4,-9
0.00801,24,35.2,-9
0.00801,24.8,35.2,-8.8
0.00802,23.2,32.8,-9
0.00802,23.2,33.6,-8.8
0.00802,22.4,32.8,-9
0.00803,21.6,32.8,-9
0.00803,21.6,32.8,-9
0.00804,20.8,32.8,-9
0.00804,19.2,32.8,-9
0.00804,20.8,32,-9.2
0.00805,20.8,31.2,-8.8
0.00805,19.2,30.4,-9
0.00805,21.6,32,-9
0.00806,19.2,31.2,-8.8
0.00806,21.6,32.8,-9
0.00807,20.8,29.6,-9
0.00807,22.4,30.4,-9
0.00807,23.2,31.2,-9
0.00808,24,30.4,-9
0.00808,25.6,29.6,-8.8
0.00809,27.2,31.2,-9
0.00809,27.2,29.6,-9
0.0081,30.4,29.6,-9
0.0081,32,29.6,-9
0.0081,32.8,29.6,-9
0.00811,35.2,28.8,-8.8
0.00811,36.8,28.8,-9
0.00812,40,28.8,-9
0.00812,40,27.2,-8.8
0.00812,43.2,27.2,-8.8
0.00813,46.4,25.6,-8.8
0.00813,48,25.6,-9
0.00813,48,24.8,-9
0.00814,51.2,24.8,-9
0.00814,52.8,22.4,-8.6
0.00815,55.2,23.2,-9
0.00815,56,21.6,-9
0.00815,56.8,20,-9
0.00816,59.2,18.4,-9
0.00816,60,19.2,-9
0.00817,62.4,16.8,-8.8
0.00817,64,16,-9
0.00818,65.6,12.8,-8.8
0.00818,71.2,13.6,-8.8
0.00818,68.8,12,-8.8
0.00819,69.6,10.4,-9
0.00819,71.2,8,-9
0.00819,73.6,7.2,-8.8
0.0082,74.4,5.6,-8.8
0.0082,74.4,4,-9
0.00821,76,1.6,-8.8
0.00822,78.4,-3.2,-8.8
0.00822,79.2,-4,-9
0.00822,80.8,-5.6,-9
0.00823,79.2,-6.4,-8.8
0.00823,81.6,-9.6,-9
0.00823,80.8,-9.6,-8.8
0.00824,81.6,-12.8,-9
0.00824,80.8,-13.6,-8.8
0.00825,80.8,-16,-8.8
0.00825,80.8,-16.8,-9
0.00826,80,-17.6,-9
0.00826,80,-20.8,-9
0.00826,78.4,-21.6,-9.2
0.00827,77.6,-23.2,-9
0.00827,76.8,-24,-8.8
0.00827,75.2,-25.6,-9
0.00828,75.2,-26.4,-9
0.00828,74.4,-27.2,-9
0.00829,72.8,-28,-8.8
0.00829,72,-30.4,-8.8
0.0083,71.2,-29.6,-9.2
0.0083,68.8,-30.4,-9
0.0083,68,-30.4,-9
0.00831,66.4,-32,-8.8
0.00831,65.6,-30.4,-8.8
0.00831,64,-32.8,-9
0.00832,63.2,-30.4,-8.8
0.00832,60.8,-32,-8.8
0.00833,60.8,-31.2,-9
0.00833,59.2,-32.8,-9
0.00834,58.4,-29.6,-9
0.00834,58.4,-30.4,-8.8
0.00834,56.8,-29.6,-9
0.00835,54.4,-31.2,-9.2
0.00835,53.6,-28.8,-8.8
0.00835,52.8,-30.4,-9
0.00836,51.2,-28.8,-8.8
0.00836,49.6,-28,-9
0.00837,49.6,-27.2,-9
0.00837,48.8,-26.4,-8.8
0.00838,47.2,-24.8,-9
0.00838,47.2,-23.2,-9
0.00838,45.6,-23.2,-9
0.00839,46.4,-21.6,-9
0.00839,44.8,-20,-9
0.00839,44.8,-19.2,-8.8
0.0084,44,-18.4,-9
0.0084,43.2,-16.8,-9
0.00841,42.4,-16.8,-8.8
0.00841,43.2,-13.6,-9
0.00842,41.6,-16,-9
0.00842,41.6,-12.8,-8.8
0.00842,40,-12.8,-8.8
0.00843,40.8,-9.6,-9
0.00843,40,-10.4,-9
0.00843,40,-8,-9
0.00844,38.4,-7.2,-9
0.00844,38.4,-5.6,-8.8
0.00845,38.4,-6.4,-9
0.00845,36.8,-3.2,-8.8
0.00846,37.6,-4.8,-9
0.00846,36,-0.8,-9
0.00846,34.4,-2.4,-8.8
0.00847,34.4,-1.6,-8.8
0.00847,34.4,0.8,-8.8
0.00848,33.6,1.6,-9
0.00848,32.8,1.6,-8.8
0.00849,31.2,2.4,-9
0.00849,31.2,4,-8.8
0.0085,31.2,3.2,-9
0.0085,31.2,5.6,-9
0.0085,29.6,3.2,-9
0.00851,29.6,5.6,-8.8
0.00851,28,6.4,-8.8
0.00852,26.4,6.4,-8.8
0.00852,26.4,6.4,-9
0.00852,24,8,-9
0.00853,24,8,-9
0.00853,22.4,9.6,-9
0.00853,21.6,8.8,-9
0.00854,20.8,9.6,-8.8
0.00854,19.2,12,-8.8
0.00855,16.8,12,-9
0.00855,16.8,12.8,-9
0.00856,15.2,13.6,-8.8
0.00856,15.2,15.2,-9
0.00856,12.8,16.8,-9
0.00857,13.6,17.6,-9
0.00857,11.2,16.8,-9
0.00858,9.6,18.4,-8.8
0.00858,8,19.2,-8.8
0.00858,7.2,19.2,-9
0.00859,4,21.6,-9
0.00859,6.4,23.2,-9
0.0086,5.6,22.4,-8.8
0.0086,3.2,23.2,-8.8
0.0086,3.2,21.6,-9
0.00861,2.4,27.2,-8.8
0.00861,1.6,24,-9
0.00862,-0.8,31.2,-9
0.00863,-2.4,31.2,-9
0.00864,-2.4,27.2,-8.8
0.00864,-2.4,33.6,-9
0.00864,-4.8,35.2,-9
0.00865,-4,36,-8.8
0.00865,-4,36,-8.8
0.00865,-4.8,39.2,-8.8
0.00866,-4.8,38.4,-9
0.00866,-6.4,40.8,-8.8
0.00867,-6.4,41.6,-9
0.00867,-7.2,43.2,-9
0.00868,-6.4,44,-9
0.00868,-6.4,43.2,-9
0.00868,-7.2,55.2,-8.8
0.00869,-6.4,42.4,-9
0.00869,-6.4,47.2,-9
0.00869,-8,47.2,-9
0.0087,-5.6,49.6,-9
0.0087,-8,49.6,-9
0.00871,-6.4,50.4,-9
0.00871,-6.4,52.8,-8.8
0.00872,-5.6,52,-9
0.00872,-4.8,52,-9
0.00872,-5.6,53.6,-9
0.00873,-4,53.6,-8.8
0.00873,-4.8,58.4,-9
0.00873,-4.8,52.8,-8.8
0.00874,-4,56.8,-9
0.00874,-4.8,52.8,-8.8
0.00875,-4,56.8,-9
0.00875,-4.8,54.4,-9
0.00876,-3.2,56.8,-9
0.00876,-5.6,55.2,-9
0.00876,-4.8,56,-9
0.00877,-4,56,-9
0.00877,-5.6,57.6,-9
0.00877,-4,56,-9
0.00878,-5.6,56.8,-9
0.00878,-4.8,56.8,-8.8
0.00879,-6.4,55.2,-8.8
0.00879,-4.8,56,-8.8
0.0088,-6.4,57.6,-8.8
0.0088,-5.6,57.6,-9
0.0088,-6.4,56,-9
0.00881,-6.4,56.8,-8.8
0.00881,-6.4,56.8,-9
0.00881,-6.4,57.6,-9
0.00882,-7.2,56.8,-9
0.00882,-7.2,57.6,-9
0.00883,-7.2,56.8,-9
0.00883,-8,57.6,-9
0.00884,-7.2,58.4,-9
0.00884,-3.2,57.6,-9
0.00884,-9.6,57.6,-9
0.00885,-9.6,59.2,-9
0.00885,-7.2,58.4,-9
0.00886,-10.4,57.6,-8.8
0.00886,-9.6,56.8,-9
0.00886,-9.6,58.4,-9
0.00887,-8.8,57.6,-9
0.00887,-9.6,59.2,-9
0.00887,-10.4,56.8,-8.8
0.00888,-9.6,58.4,-8.8
0.00888,-10.4,59.2,-9
0.00889,-15.2,59.2,-8.8
0.00889,-8,59.2,-9
0.0089,-12,59.2,-9
0.0089,-10.4,59.2,-9
0.0089,-10.4,59.2,-8.8
0.00891,-11.2,59.2,-9
0.00891,-9.6,59.2,-9
0.00892,-10.4,58.4,-9
0.00892,-9.6,59.2,-9
0.00892,-9.6,60,-9
0.00893,-10.4,59.2,-9
0.00893,-8.8,59.2,-9
0.00894,-12.8,60,-9
0.00894,-8,60,-9
0.00894,-8.8,59.2,-9
0.00895,-9.6,60,-8.8
0.00895,-7.2,59.2,-8.8
0.00895,-9.6,60,-8.8
0.00896,-8,59.2,-8.8
0.00896,-7.2,58.4,-9
0.00897,-8,59.2,-9
0.00897,-6.4,59.2,-8.8
0.00898,-6.4,59.2,-9
0.00898,-8,58.4,-9
0.00898,-6.4,57.6,-9
0.00899,-6.4,59.2,-9
0.00899,-2.4,59.2,-8.8
0.009,-6.4,59.2,-9
0.009,-3.2,56,-8.8
0.009,-4.8,59.2,-8.8
0.00901,-2.4,56,-8.8
0.00901,-2.4,56.8,-8.8
0.00902,-3.2,56.8,-9
0.00902,-1.6,58.4,-8.8
0.00902,-2.4,56,-9
0.00903,-0.8,56,-9
0.00904,0.8,56,-8.8
0.00904,0.8,55.2,-9
0.00905,1.6,53.6,-9
0.00905,0.8,53.6,-8.8
0.00906,2.4,54.4,-8.8
0.00906,3.2,53.6,-9
0.00906,3.2,52.8,-9
0.00907,3.2,52.8,-8.8
0.00907,3.2,52.8,-8.8
0.00908,3.2,52.8,-9
0.00908,4.8,53.6,-8.8
0.00908,4,52,-9
0.00909,4.8,52,-8.8
0.00909,4.8,52.8,-9
0.0091,6.4,51.2,-9
0.0091,5.6,51.2,-9
0.0091,6.4,50.4,-9
0.00911,6.4,49.6,-8.8
0.00911,4.8,49.6,-9
0.00911,7.2,49.6,-9
0.00912,6.4,49.6,-8.8
0.00912,6.4,47.2,-9
0.00913,8,48.8,-8.8
0.00913,6.4,46.4,-9
0.00914,8.8,48,-8.8
0.00914,8,46.4,-8.8
0.00914,9.6,47.2,-8.8
0.00915,9.6,45.6,-9
0.00915,9.6,45.6,-9
0.00915,12,46.4,-9
0.00916,9.6,46.4,-8.8
0.00916,9.6,45.6,-8.8
0.00917,11.2,45.6,-9
0.00917,11.2,44,-9
0.00918,12,45.6,-8.8
0.00918,12.8,44,-9
0.00918,12.8,43.2,-8.8
0.00919,13.6,43.2,-9
0.00919,13.6,43.2,-8.8
0.0092,14.4,42.4,-9
0.0092,13.6,42.4,-9
0.0092,15.2,42.4,-9
0.00921,16,43.2,-8.8
0.00921,15.2,42.4,-9
0.00921,16,41.6,-9
0.00922,16.8,41.6,-8.8
0.00922,17.6,40.8,-9
0.00923,17.6,42.4,-9
0.00923,18.4,40,-9
0.00924,20,41.6,-9
0.00924,19.2,39.2,-9
0.00924,20.8,38.4,-9
0.00925,20,38.4,-9
0.00925,20.8,38.4,-8.8
0.00925,22.4,36.8,-9
0.00926,23.2,37.6,-8.8
0.00926,22.4,36.8,-9
0.00927,23.2,36,-9
0.00927,24,35.2,-8.8
0.00928,24.8,36.8,-9
0.00928,24.8,34.4,-9
0.00928,24.8,35.2,-9
0.00929,24.8,33.6,-8.8
0.00929,25.6,34.4,-9
0.00929,26.4,33.6,-9
0.0093,28,32.8,-8.8
0.0093,27.2,32,-9
0.00931,28,31.2,-8.6
0.00931,28.8,30.4,-9
0.00932,28.8,31.2,-9
0.00932,30.4,30.4,-9
0.00932,29.6,30.4,-9
0.00933,31.2,28.8,-9
0.00933,31.2,28.8,-9.2
0.00933,32,28,-9
0.00934,31.2,28,-8.8
0.00934,32.8,28,-9
0.00935,32.8,27.2,-8.8
0.00935,33.6,27.2,-9
0.00936,34.4,25.6,-9
0.00936,34.4,25.6,-8.8
0.00936,33.6,24.8,-9
0.00937,34.4,24.8,-9
0.00937,34.4,24,-9
0.00937,34.4,24,-9
0.00938,34.4,23.2,-9
0.00938,34.4,23.2,-9
0.00939,35.2,21.6,-9
0.00939,36.8,22.4,-9
0.0094,35.2,20,-9
0.0094,36,20.8,-9
0.0094,36,19.2,-9
0.00941,35.2,20.8,-8.8
0.00941,36.8,19.2,-8.8
0.00942,37.6,19.2,-8.8
0.00942,37.6,18.4,-8.8
0.00942,38.4,17.6,-8.8
0.00943,37.6,18.4,-9
0.00943,38.4,16.8,-9
0.00944,39.2,17.6,-9
0.00944,39.2,16.8,-8.8
0.00944,40.8,16.8,-9
0.00945,38.4,17.6,-9
0.00945,40,16.8,-9
0.00945,40,16.8,-9
0.00946,40.8,16.8,-8.8
0.00946,40,16,-8.8
0.00947,40.8,17.6,-9
0.00947,41.6,15.2,-9
0.00948,40.8,15.2,-9
0.00948,42.4,13.6,-9
0.00948,41.6,14.4,-9
0.00949,41.6,15.2,-9
0.00949,43.2,13.6,-9
0.0095,41.6,15.2,-9
0.0095,43.2,15.2,-9
0.0095,43.2,12.8,-8.8
0.00951,44,14.4,-9
0.00951,43.2,14.4,-9
0.00951,43.2,14.4,-9
0.00952,44,12.8,-9
0.00952,44.8,13.6,-8.8
0.00953,44.8,12,-9
0.00953,45.6,12.8,-9
0.00954,44.8,11.2,-8.8
0.00954,44.8,12,-9
0.00954,44.8,12,-9
0.00955,44.8,11.2,-8.8
0.00955,45.6,10.4,-8.8
0.00955,44.8,9.6,-9
0.00956,45.6,9.6,-9
0.00956,45.6,10.4,-8.8
0.00957,46.4,9.6,-9
0.00957,46.4,8.8,-9
0.00958,45.6,9.6,-9
0.00958,46.4,9.6,-9
0.00958,46.4,8.8,-9
0.00959,45.6,8,-8.8
0.00959,46.4,9.6,-9
0.00959,45.6,8.8,-8.8
0.0096,46.4,7.2,-9
0.0096,46.4,7.2,-8.8
0.00961,45.6,6.4,-9
0.00961,45.6,8,-8.8
0.00962,45.6,8,-9
0.00962,45.6,6.4,-8.8
0.00962,44,7.2,-9
0.00963,44,6.4,-9
0.00963,45.6,6.4,-8.8
0.00963,44,5.6,-9
0.00964,44.8,8,-9
0.00964,44.8,5.6,-9
0.00965,44.8,6.4,-8.8
0.00965,44.8,6.4,-9
0.00966,44.8,6.4,-9
0.00966,44,4.8,-9
0.00966,44,5.6,-8.8
0.00967,43.2,5.6,-9
0.00967,44.8,6.4,-8.8
0.00967,43.2,5.6,-9
0.00968,43.2,6.4,-8.8
0.00968,42.4,4.8,-8.8
0.00969,44,5.6,-9
0.00969,42.4,3.2,-9
0.0097,42.4,5.6,-8.8
0.0097,43.2,4.8,-8.8
0.0097,41.6,4,-8.8
0.00971,42.4,4.8,-9
0.00971,41.6,4.8,-9
0.00971,41.6,6.4,-9
0.00972,41.6,4.8,-8.8
0.00972,41.6,5.6,-8.8
0.00973,43.2,4.8,-8.8
0.00973,40.8,4.8,-9.2
0.00974,41.6,5.6,-9
0.00974,41.6,6.4,-9
0.00974,40.8,6.4,-8.8
0.00975,42.4,6.4,-9
0.00975,41.6,6.4,-8.8
0.00975,41.6,6.4,-9
0.00976,39.2,6.4,-9
0.00976,40,7.2,-9
0.00977,40,7.2,-9
0.00977,40,8,-9
0.00978,38.4,7.2,-8.8
0.00978,38.4,8.8,-9
0.00978,40,8.8,-9
0.00979,40,8.8,-9
0.00979,38.4,8,-9
0.00979,38.4,8.8,-9
0.0098,37.6,8,-9
0.0098,36.8,9.6,-9
0.00981,36.8,8,-9
0.00981,38.4,11.2,-9
0.00982,39.2,8,-9
0.00982,38.4,9.6,-8.8
0.00982,36.8,9.6,-9
0.00983,37.6,10.4,-9
0.00983,38.4,9.6,-8.8
0.00984,37.6,11.2,-9
0.00984,37.6,10.4,-9
0.00984,36,12,-9
0.00985,36.8,9.6,-9
0.00985,36.8,12,-9
0.00985,36.8,10.4,-9
0.00986,36.8,10.4,-9
0.00986,36,11.2,-9
0.00987,35.2,12,-9
0.00987,35.2,11.2,-8.8
0.00988,35.2,12,-8.8
0.00988,34.4,12,-9
0.00988,35.2,12,-9
0.00989,33.6,12,-9
0.00989,32.8,12.8,-9
0.00989,33.6,13.6,-9
0.0099,31.2,12,-9
0.0099,32,12.8,-8.6
0.00991,31.2,12.8,-9
0.00991,31.2,14.4,-8.8
0.00992,29.6,13.6,-8.8
0.00992,31.2,13.6,-9
0.00992,29.6,15.2,-9
0.00993,28.8,15.2,-8.8
0.00993,29.6,15.2,-9
0.00993,28,16,-8.8
0.00994,28,13.6,-9
0.00994,27.2,16,-9
0.00995,26.4,16,-9
0.00995,26.4,16,-9
0.00996,26.4,16.8,-8.8
0.00996,25.6,17.6,-8.8
0.00996,25.6,16.8,-9
0.00997,25.6,16.8,-8.8
0.00997,24.8,16.8,-9
0.00997,24,19.2,-8.8
0.00998,24.8,19.2,-9
0.00998,24,18.4,-8.8
0.00999,24.8,19.2,-9
0.00999,22.4,19.2,-9
0.01,23.2,20,-8.8
